uwYear,gender,carType,carCat,job,age,nYears,carVal,cover,density,claimSizeMD,age_bucket,age_cluster_code,age_cluster,carVal_cluster_code,carVal_cluster,density_cluster_code,density_cluster,claimNumbMD,Expected_Frequency,Expected_Severity,Expected_Cost,risk_flag
2009,Female,A,Medium,Housewife,41,0,24940,1,273.0,740.0,"(36.0, 41.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.6614827205427863,635.353846862975,420.2755911302456,Medium Risk
2009,Male,B,Small,Unemployed,25,12,48945,0,190.0,207.0,"(23.0, 25.0]",0.0,18 - 35,2.0,"€31,188 - €49,995",1.0,97 - 193 inh/km²,,0.6568899186861504,1151.3671021787525,756.3214421281094,Extreme Risk
2009,Female,E,Small,Employed,29,7,1525,0,225.0,803.0,"(28.0, 32.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.5803265876681161,677.8465145274567,393.37235473844504,Medium Risk
2009,Male,A,Small,Self-employed,47,12,18480,1,129.0,868.0,"(46.0, 54.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.3059341110030703,603.1870407239902,184.5354910724667,Low Risk
2009,Female,C,Large,Employed,47,7,8690,0,290.0,1746.0,"(46.0, 54.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.6069830557070871,674.1896616792689,409.2217009722099,Medium Risk
2009,Female,B,Medium,Unemployed,35,0,6115,1,89.0,1648.0,"(32.0, 36.0]",0.0,18 - 35,0.0,"€1,000 - €15,076",0.0,14 - 97 inh/km²,,0.3737434593041757,692.4185195994282,258.7868928013665,Medium Risk
2009,Female,A,Medium,Housewife,46,4,11965,0,250.0,407.0,"(41.0, 46.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.5681844518909448,656.3019868096563,372.90058465038265,Medium Risk
2009,Male,A,Small,Housewife,29,7,19990,1,29.0,190.0,"(28.0, 32.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.35136469021796574,544.2006957566443,191.21290888093475,Low Risk
2009,Male,C,Medium,Retired,69,12,27715,1,205.0,3839.0,"(54.0, 75.0]",2.0,53 - 75,1.0,"€15,076 - €31,188",2.0,193 - 297 inh/km²,,0.24605895116959842,840.9562465135864,206.92481199665534,Low Risk
2009,Male,A,Medium,Unemployed,43,11,14330,1,259.0,1410.0,"(41.0, 46.0]",1.0,35 - 53,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.5949913410429374,922.8825173341522,549.1071066137291,High Risk
2009,Female,B,Large,Retired,61,14,12555,1,285.0,326.0,"(54.0, 75.0]",2.0,53 - 75,0.0,"€1,000 - €15,076",2.0,193 - 297 inh/km²,,0.2955636114282833,997.5833739515323,294.8493447059265,Medium Risk
2009,Male,C,Large,Unemployed,20,8,18530,0,26.0,1651.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4293251906568043,881.1106994306886,378.28301902283056,Medium Risk
2009,Female,A,Medium,Employed,50,0,21935,1,145.0,268.0,"(46.0, 54.0]",1.0,35 - 53,1.0,"€15,076 - €31,188",1.0,97 - 193 inh/km²,,0.35316215277277224,513.0517914943624,181.19047516807652,Low Risk
2009,Male,B,Medium,Employed,25,1,29030,0,51.0,1772.0,"(23.0, 25.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4290799693065434,762.6126947557868,327.2218316585934,Medium Risk
2009,Male,C,Large,Employed,25,3,15080,0,72.0,363.0,"(23.0, 25.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4340803202235844,719.7572227896451,312.4324457517669,Medium Risk
2009,Male,E,Large,Employed,20,2,22370,1,40.0,496.0,"(17.999, 20.0]",0.0,18 - 35,1.0,"€15,076 - €31,188",0.0,14 - 97 inh/km²,,0.4624993762760338,562.2063325063486,260.02007812262275,Medium Risk
