,Extreme Risk,High Risk,Low Risk,Medium Risk
Portfolio_Size,1371,4627,9992,8763
Median_age,22.0,26.0,48.0,33.0
Min_age,18,18,18,18
Max_age,46,63,75,75
Median_nYears,2.0,3.0,5.0,4.0
Min_nYears,0,0,0,0
Max_nYears,15,15,15,15
Median_carVal,"€16,970.00","€15,740.00","€14,455.00","€14,985.00"
Min_carVal,1080,1000,1010,1005
Max_carVal,49995,49990,49990,49980
Median_density,249 inh/km²,190 inh/km²,66 inh/km²,123 inh/km²
Min_density,25.91743539,15.8925395,14.37714238,14.37714238
Max_density,297.3851697,297.3851697,297.3851697,297.3851697
Median_Expected_Frequency,0.7676,0.6526,0.3682,0.5313
Min_Expected_Frequency,0.6165947478958846,0.30717141505668644,0.09782096492363047,0.22142173435666032
Max_Expected_Frequency,1.079740878289252,0.9580362308336935,0.6158421834539894,0.8311575473252065
Median_Expected_Severity,"€1,332.61","€1,033.07",€626.02,€806.73
Min_Expected_Severity,939.1656339470386,686.0167109029401,272.88147050420724,529.8999711733893
Max_Expected_Severity,1960.211919409692,2081.0692084729135,1457.7667348289929,1838.1316603757937
Median_Expected_Cost,€986.32,€665.96,€230.56,€424.87
Min_Expected_Cost,858.7231917134759,555.5162548565908,58.200537907374006,328.37787966288994
Max_Expected_Cost,1775.9047731981586,858.658091285633,328.3547242425561,555.4483557714573
Top_gender,Male,Male,Male,Male
%_gender,86.7%,75.8%,57.5%,66.8%
Top_job,Unemployed,Employed,Employed,Employed
%_job,60.7%,36.0%,26.6%,39.7%
Top_carType,A,A,A,A
%_carType,30.9%,28.2%,25.3%,26.0%
Top_carCat,Small,Small,Large,Medium
%_carCat,42.9%,40.6%,43.6%,37.6%
